OCCUPATION_TYPE;EXT_SOURCE_3;AMT_REQ_CREDIT_BUREAU_HOUR;AMT_REQ_CREDIT_BUREAU_DAY;AMT_REQ_CREDIT_BUREAU_WEEK;AMT_REQ_CREDIT_BUREAU_MON;AMT_REQ_CREDIT_BUREAU_QRT;AMT_REQ_CREDIT_BUREAU_YEAR;NAME_TYPE_SUITE;OBS_30_CNT_SOCIAL_CIRCLE;DEF_30_CNT_SOCIAL_CIRCLE;OBS_60_CNT_SOCIAL_CIRCLE;DEF_60_CNT_SOCIAL_CIRCLE;EXT_SOURCE_2;AMT_GOODS_PRICE;AMT_ANNUITY;CNT_FAM_MEMBERS;DAYS_LAST_PHONE_CHANGE;CNT_CHILDREN;FLAG_DOCUMENT_8;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_CAR;FLAG_DOCUMENT_2;FLAG_DOCUMENT_3;FLAG_DOCUMENT_4;FLAG_DOCUMENT_5;FLAG_DOCUMENT_6;FLAG_DOCUMENT_7;FLAG_DOCUMENT_9;FLAG_DOCUMENT_21;FLAG_DOCUMENT_10;FLAG_DOCUMENT_11;FLAG_OWN_REALTY;FLAG_DOCUMENT_13;FLAG_DOCUMENT_14;FLAG_DOCUMENT_15;FLAG_DOCUMENT_16;FLAG_DOCUMENT_17;FLAG_DOCUMENT_18;FLAG_DOCUMENT_19;FLAG_DOCUMENT_20;FLAG_DOCUMENT_12;AMT_CREDIT;AMT_INCOME_TOTAL;FLAG_PHONE;LIVE_CITY_NOT_WORK_CITY;REG_CITY_NOT_WORK_CITY;TARGET;REG_CITY_NOT_LIVE_CITY;LIVE_REGION_NOT_WORK_REGION;REG_REGION_NOT_WORK_REGION;REG_REGION_NOT_LIVE_REGION;HOUR_APPR_PROCESS_START;WEEKDAY_APPR_PROCESS_START;REGION_RATING_CLIENT_W_CITY;REGION_RATING_CLIENT;FLAG_EMAIL;FLAG_CONT_MOBILE;ORGANIZATION_TYPE;FLAG_WORK_PHONE;FLAG_EMP_PHONE;FLAG_MOBIL;DAYS_ID_PUBLISH;DAYS_REGISTRATION;DAYS_EMPLOYED;DAYS_BIRTH;REGION_POPULATION_RELATIVE;NAME_HOUSING_TYPE;NAME_FAMILY_STATUS;NAME_EDUCATION_TYPE;NAME_INCOME_TYPE;SK_ID_CURR;AGE
Laborers;0.2471909382666521;0.0;0.0;0.0;1.0;0.0;4.0;Family;8.0;0.0;8.0;0.0;0.0146603456153077;135000.0;11632.5;2.0;-2303.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;161730.0;121500.0;0;0;0;0;0;0;0;0;10;WEDNESDAY;2;2;0;1;Housing;0;1;1;-2860;-3128.0;-10773.0;-19306;0.030755;House / apartment;Married;Secondary / secondary special;Working;135499;52
Accountants;0.221335206354466;0.0;0.0;0.0;0.0;1.0;4.0;Unaccompanied;0.0;0.0;0.0;0.0;0.1315580785362522;135000.0;11119.5;1.0;-419.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;152820.0;157500.0;0;0;0;0;0;0;0;0;11;FRIDAY;2;2;1;1;Restaurant;1;1;1;-1894;-532.0;-874.0;-12312;0.0228;House / apartment;Single / not married;Higher education;Commercial associate;425854;33
Sales staff;0.2567055724393002;0.0;0.0;0.0;0.0;4.0;4.0;Unaccompanied;1.0;0.0;1.0;0.0;0.5595152971549956;225000.0;18643.5;2.0;-780.0;0;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;284400.0;157500.0;0;0;0;0;0;0;0;0;8;TUESDAY;2;2;1;1;Self-employed;0;1;1;-2590;-9524.0;-345.0;-9931;0.015221;House / apartment;Married;Higher education;Working;412763;27
Cooking staff;0.2764406945454034;0.0;0.0;0.0;0.0;0.0;3.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5947906077392551;225000.0;17905.5;1.0;-618.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;225000.0;112500.0;0;0;0;0;0;0;0;0;13;FRIDAY;2;2;0;1;Business Entity;0;1;1;-633;-2843.0;-282.0;-7968;0.026392;House / apartment;Single / not married;Secondary / secondary special;State servant;417860;21
Unknown;0.4884551844437485;0.0;0.0;0.0;0.0;0.0;0.0;Unaccompanied;0.0;0.0;0.0;0.0;0.2995597921772738;463500.0;16407.0;2.0;-4.0;0;0;Cash loans;M;Y;0;0;0;0;1;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;536917.5;184500.0;0;0;0;0;0;0;0;0;11;SATURDAY;2;2;0;1;Unknown;0;0;1;-5859;-820.0;-1681.0;-23729;0.02461;House / apartment;Married;Higher education;Pensioner;299092;65
Core staff;0.2392262794694045;0.0;0.0;0.0;0.0;0.0;0.0;Unaccompanied;3.0;0.0;3.0;0.0;0.1214408847049011;90000.0;12087.0;5.0;-19.0;3;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;101880.0;81000.0;0;0;0;1;0;0;0;0;11;MONDAY;2;2;0;1;Agriculture;0;1;1;-2237;-2868.0;-1539.0;-9608;0.031329;House / apartment;Married;Secondary / secondary special;Working;362078;26
Sales staff;0.2405414172860865;0.0;0.0;0.0;0.0;0.0;3.0;Family;0.0;0.0;0.0;0.0;0.2033031450442788;270000.0;15628.5;1.0;-708.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;270000.0;58500.0;1;0;1;0;1;0;0;0;17;TUESDAY;2;2;0;1;Business Entity;1;1;1;-1190;-3011.0;-921.0;-8519;0.010276;House / apartment;Single / not married;Secondary / secondary special;Working;190004;23
Laborers;0.3706496323299817;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.7249557819702234;450000.0;31630.5;5.0;-1360.0;3;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;521280.0;337500.0;0;0;0;0;0;0;0;0;11;MONDAY;1;1;0;1;Construction;0;1;1;-3135;-8019.0;-2372.0;-15392;0.04622;House / apartment;Married;Secondary / secondary special;Working;324586;42
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5964339064249727;675000.0;19476.0;2.0;0.0;0;0;Cash loans;F;N;0;0;0;0;1;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;675000.0;49500.0;1;0;0;0;0;0;0;0;9;TUESDAY;2;2;0;1;Unknown;0;0;1;-4549;-11456.0;-1681.0;-21829;0.026392;House / apartment;Married;Secondary / secondary special;Pensioner;162244;59
Unknown;0.7165702448010511;0.0;0.0;0.0;0.0;0.0;4.0;Unaccompanied;1.0;0.0;1.0;0.0;0.5647900180593396;495000.0;24750.0;5.0;-1750.0;3;0;Revolving loans;M;Y;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;495000.0;171000.0;0;0;0;0;0;0;0;0;17;TUESDAY;2;2;0;1;Unknown;0;0;1;-2770;-3289.0;-1681.0;-14695;0.00496;Rented apartment;Married;Secondary / secondary special;Pensioner;435348;40
